L4 | Wed Apr 25 16:27:41 2018 (683 ms) | general | exiting: Deleting sceneHandler

L4 | Wed Apr 25 16:27:41 2018 (683 ms) | general | exiting: calling SDL_CloseAudio

L4 | Wed Apr 25 16:27:41 2018 (735 ms) | general | Freeing sound sprites

L4 | Wed Apr 25 16:27:41 2018 (736 ms) | general | exiting: freeing frameDrawer

L4 | Wed Apr 25 16:27:41 2018 (804 ms) | general | exiting: Deleting screen

L4 | Wed Apr 25 16:27:41 2018 (809 ms) | general | exiting: freeing drawString

L4 | Wed Apr 25 16:27:41 2018 (810 ms) | general | exiting: calling SDL_Quit()

L4 | Wed Apr 25 16:27:41 2018 (946 ms) | general | exiting: Done.

L4 | Sat Apr 28 22:59:44 2018 (730 ms) | general | New game starting up
L4 | Sat Apr 28 22:59:44 2018 (731 ms) | general | Target game image size:  1280x720

L4 | Sat Apr 28 22:59:44 2018 (732 ms) | general | Ideal window dimensions:  1280x720

L4 | Sat Apr 28 22:59:44 2018 (732 ms) | general | Trying to start in fullscreen mode.
L4 | Sat Apr 28 22:59:44 2018 (736 ms) | general | The following frame rates are considered possible:
L4 | Sat Apr 28 22:59:44 2018 (736 ms) | general | 30 fps
L4 | Sat Apr 28 22:59:44 2018 (736 ms) | general | 60 fps
L4 | Sat Apr 28 22:59:44 2018 (736 ms) | general | 120 fps
L4 | Sat Apr 28 22:59:44 2018 (736 ms) | general | 144 fps
L4 | Sat Apr 28 22:59:44 2018 (742 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Sat Apr 28 22:59:44 2018 (742 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Sat Apr 28 22:59:44 2018 (742 ms) | general | Sticking with user's current screen resolution
L4 | Sat Apr 28 22:59:44 2018 (742 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Sat Apr 28 22:59:44 2018 (742 ms) | general | Available video modes:
L5 | Sat Apr 28 22:59:44 2018 (742 ms) | general |    1920 x 1080

L4 | Sat Apr 28 22:59:44 2018 (742 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Sat Apr 28 22:59:44 2018 (742 ms) | general |    ^^^^ this mode matches requested mode
L5 | Sat Apr 28 22:59:44 2018 (742 ms) | general |    1680 x 1050

